"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,510,000",""
"SURVEY","2020","YEAR - MAR ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,510,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","76,100,000",""
"SURVEY","2019","YEAR - AUG ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","76,700,000",""
"SURVEY","2019","YEAR - JUN ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","80,040,000",""
"SURVEY","2019","YEAR - MAR ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","84,617,000",""
"SURVEY","2019","YEAR - OCT ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","76,457,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","89,167,000",""
"SURVEY","2018","YEAR - JUN ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","89,557,000",""
"SURVEY","2018","YEAR - MAR ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","88,982,000",""
"SURVEY","2018","YEAR - OCT ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","89,145,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","90,162,000",""
"SURVEY","2017","YEAR - MAR ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","89,482,000",""
"SURVEY","2017","YEAR - SEP FORECAST","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","89,513,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,453,000",""
"SURVEY","2016","YEAR - MAR ACREAGE","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","82,236,000",""
"SURVEY","2016","YEAR - SEP FORECAST","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,688,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","82,660,000",""
