UF,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NORTE, -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.5,1.1,54.7,135.6,53.2,11.5,19.4,36.4,59,45.5,14.2,28.6,99.8,123.2,150.7,216.6,369,557.5,913.7,"1,419.90","1,255.20","1,079.90","1,472.40","1,414.00","1,691.70","1,977.20","2,172.20","2,661.50","3,391.30","4,289.50","3,818.90","5,536.40","5,903.90","5,924.80","6,612.60"
RR, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,16.8, -  ,4.9, -  , -  , -  ,0, -  ,8.4,7.2,28.8,56,28,15.4,48.8,22.4,3.9,10.4,10.4,33.6,56.2,63.9,79.2,90,117.5,108,149.2
RO, -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.5,1.1,7.7,31.2,15.6,5,0.2,10.8, -  ,13, -  ,8.9,14.1,26.1,35.4,76.5,89.2,123,177.9,227.2,283,277.5,311.6,326.5,384.3,425.3,462.2,539.3,607.7,732.9,765,930.3,"1,094.90","1,109.20","1,172.40"
AC, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,1.5,4.4,11.8
AM, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,1.6,5.4,5.4,8.4,5.7, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,3.4,5.3,5.6
AP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,54.4,58.3,57.5,59.3
PA, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,5.5,3.3,4.9,1.5,7.3,44.2,95,207,238.1,140.5,201.1,208.7,232.5,314.4,316.7,552.2,668.6,"1,017.00","1,288.00","1,635.30","1,530.60","1,708.90","1,811.20"
TO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,47,104.4,37.6,6.5,19.2,25.6,42.2,32.5,9.3,19.7,80.2,93.8,110.4,138.6,262.5,377.7,606.6,921.3,700.4,646.5,910.9,856.4,"1,071.00","1,227.10","1,382.90","1,536.40","2,058.80","2,475.70","1,686.70","2,826.40","3,097.70","2,931.50","3,403.10"
NORDESTE, -  , -  , -  ,2.2,3.8,0.4,4.5,36.4,84.6,155.5,156.3,374.9,638.7,267.8,564.3,520.3,682.1,"1,018.40","1,267.80",921.9,"1,300.10","1,561.10","1,609.80","2,064.00","2,075.90","2,096.00","2,519.30","3,538.90","3,953.10","3,560.90","3,867.20","4,829.80","4,161.90","5,309.50","6,251.50","6,096.30","5,294.80","6,620.90","8,084.10","5,107.10","9,644.70","11,850.70","10,553.40","11,306.00"
MA, -  , -  , -  , -  , -  , -  , -  , -  ,9,13.6,8.8,29.2,37.2,6.7,8.3,25.3,91.2,138.2,169.6,199.6,252,302.4,390.5,439.3,483,540.9,654.9,924.1,997.5,"1,025.10","1,084.00","1,262.80",975.1,"1,330.60","1,599.70","1,650.60","1,685.90","1,823.70","2,069.60","1,250.20","2,473.30","2,973.40","2,917.70","3,120.60"
PI, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,0.2,0.2,0.4, -  , -  , -  ,12.2,25.2,23,35.8,57.1,68.8,100,142.6,91.1,308.2,396.7,554.4,544.5,486,819.4,768.8,868.4,"1,144.30","1,263.10",916.9,"1,489.20","1,833.80",645.8,"2,048.10","2,538.60","2,322.10","2,374.60"
CE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RN, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
PB, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
PE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
AL, -  , -  , -  , -  , -  , -  , -  , -  , -  ,2.8,3,3.5,4.5,4.5, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,5.5,4.5,2.8
SE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
BA, -  , -  , -  ,2.2,3.8,0.4,4.5,36.4,75.6,139.1,144.5,342,596.8,256.2,556,495,590.9,868,"1,073.00",699.3,"1,012.30","1,201.60","1,150.50","1,524.70","1,450.30","1,464.00","1,556.20","2,218.10","2,401.20","1,991.30","2,297.20","2,747.60","2,418.00","3,110.50","3,507.50","3,182.60","2,692.00","3,308.00","4,180.70","3,211.10","5,123.30","6,333.20","5,309.10","5,808.00"
CENTRO-OESTE,540,578,"1,100.00","1,850.40","2,097.00","2,437.40","3,137.00","3,828.80","5,572.70","5,027.50","5,811.80","6,739.60","8,652.40","6,325.60","6,667.00","7,313.20","8,484.20","9,907.00","10,084.70","8,846.40","10,438.10","12,889.90","13,356.10","14,945.30","17,001.90","20,395.80","23,532.50","24,613.10","28,973.50","27,824.70","26,494.80","29,114.00","29,134.90","31,586.70","33,938.90","34,904.80","38,091.40","41,800.50","43,968.60","43,752.60","50,149.90","53,945.40","52,637.50","58,075.50"
MT,450,8,26,116.9,230,360.7,606,934,"1,653.60","1,910.00","2,387.00","2,750.00","3,689.70","2,900.80","2,607.00","3,484.80","4,197.80","4,970.00","5,440.10","4,686.80","5,721.30","7,150.00","7,134.40","8,456.00","9,640.80","11,636.70","12,949.40","15,008.80","17,937.10","16,700.40","15,359.00","17,847.90","17,962.50","18,766.90","20,412.20","21,849.00","23,532.80","26,441.60","28,018.60","26,030.70","30,513.50","32,306.10","32,454.50","34,904.30"
MS, -  ,472,849,"1,267.20","1,413.00","1,468.40","1,786.00","1,916.90","2,561.70","1,900.40","2,308.80","2,548.20","2,860.00","1,934.40","2,299.70","1,929.30","2,229.00","2,439.80","2,426.40","2,045.90","2,155.80","2,281.70","2,740.10","2,323.90","3,129.60","3,278.60","4,103.80","3,324.80","3,862.60","4,445.10","4,881.30","4,569.20","4,179.70","5,307.80","5,169.40","4,628.30","5,809.00","6,148.00","7,177.60","7,241.40","8,575.80","9,600.50","8,504.00","10,416.00"
GO,90,98,225,449.5,429,576,703,922.2,"1,266.10","1,133.30","1,026.00","1,356.00","1,980.00","1,410.80","1,659.00","1,804.00","1,968.00","2,387.10","2,133.10","2,046.20","2,478.00","3,372.00","3,417.70","4,072.60","4,158.00","5,379.10","6,359.60","6,147.10","6,985.10","6,533.50","6,114.00","6,543.50","6,836.20","7,342.60","8,181.60","8,251.50","8,562.90","8,994.90","8,625.10","10,249.50","10,819.10","11,785.70","11,437.40","12,464.60"
DF, -  , -  , -  ,16.8,25,32.3,42,55.7,91.3,83.8,90,85.4,122.7,79.6,101.3,95.1,89.4,110.1,85.1,67.5,83,86.2,63.9,92.8,73.5,101.4,119.7,132.4,188.7,145.7,140.5,153.4,156.5,169.4,175.7,176,186.7,216,147.3,231,241.5,253.1,241.6,290.6
SUDESTE,875,882,"1,020.00","1,305.00","1,317.00","1,380.60","1,430.20","1,360.00","1,816.70","1,687.50","1,724.40","1,985.50","2,556.30","1,843.50","1,930.40","1,910.70","2,314.30","2,499.40","2,365.90","2,274.50","2,498.40","2,495.50","2,757.00","2,569.70","2,873.90","3,452.40","4,067.60","4,474.40","4,752.00","4,137.10","4,005.40","3,983.40","4,057.60","4,457.60","4,622.10","4,656.30","5,425.90","5,015.30","5,873.50","7,574.90","8,151.50","8,955.00","8,091.80","9,842.90"
MG,95,137,170,255,285,387.6,464.4,496,853.4,778.3,801,983.6,"1,207.90",874.5,962.9,"1,003.20","1,158.80","1,234.20","1,188.00","1,040.20","1,176.10","1,382.50","1,336.00","1,396.80","1,495.90","1,926.90","2,332.50","2,659.20","3,021.60","2,482.50","2,567.90","2,536.90","2,751.10","2,871.50","2,913.60","3,058.70","3,374.80","3,327.00","3,507.00","4,731.10","5,067.20","5,545.20","5,074.30","5,884.20"
ES, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
RJ, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  
SP,780,745,850,"1,050.00","1,032.00",993,965.8,864,963.3,909.2,923.4,"1,001.90","1,348.40",969,967.5,907.5,"1,155.50","1,265.20","1,177.90","1,234.30","1,322.30","1,113.00","1,421.00","1,172.90","1,378.00","1,525.50","1,735.10","1,815.20","1,730.40","1,654.60","1,437.50","1,446.50","1,306.50","1,586.10","1,708.50","1,597.60","2,051.10","1,688.30","2,366.50","2,843.80","3,084.30","3,409.80","3,017.50","3,958.70"
