UF,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NORTE, -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,250","1,833","1,693","1,818","1,267","1,825","1,603","1,820","2,056","2,126","2,119","1,135","2,105","2,444","2,524","2,362","2,615","2,659","2,593","2,721","2,473","2,630","2,845","2,841","2,943","3,063","3,027","2,952","2,877","2,976","2,423","3,061","3,056","2,980","3,163"
RR, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"2,800", -  ,"2,700", -  , -  , -  ,0, -  ,"2,400","2,400","2,400","2,800","2,800","2,800","3,250","2,800","2,800","2,800","2,800","2,800","3,120","2,685","3,300","3,000","3,077","2,700","3,044"
RO, -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,250","1,833","1,791","2,000","2,000","2,100","2,400","2,400", -  ,"2,700", -  ,"2,700","3,000","3,000","3,000","3,060","3,120","3,000","2,990","3,054","2,660","3,070","3,122","3,080","3,142","3,215","3,221","3,216","3,180","3,166","3,028","3,143","3,282","3,324","3,365"
AC, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  ,"2,938","2,940","2,939"
AM, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,454","2,571","2,571","3,000","3,000", -  , -  , - , - , - , - , - , - , - , -  , -  ,"2,250","2,400","2,325"
AP, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  ,"2,878","2,884","2,751","2,837"
PA, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"2,115","2,038","2,120","2,100","2,520","2,850","2,700","3,000","2,987","2,990","2,828","2,890","2,675","3,000","2,657","3,207","3,020","3,024","3,003","3,270","2,785","3,044","3,061"
TO, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,679","1,769","1,099","1,675","1,600","1,650","1,860","1,957","1,900",900,"2,000","2,340","2,420","2,100","2,500","2,550","2,490","2,590","2,263","2,415","2,747","2,750","2,940","3,032","3,065","2,796","2,751","2,914","1,937","2,932","3,135","2,850","3,168"
NORDESTE, -  , -  , -  ,"1,158","1,583",333,900,"1,300","1,159","1,321",865,"1,520","1,557",695,"1,997","1,482","1,614","2,022","2,201","1,732","2,189","2,142","2,083","2,425","2,157","1,863","2,031","2,674","2,741","2,395","2,658","3,057","2,588","2,852","3,213","2,880","2,193","2,544","2,841","1,774","3,115","3,631","3,167","3,389"
MA, -  , -  , -  , -  , -  , -  , -  , -  ,900,"1,563","1,035","1,802","1,699",419,"1,800","1,201","2,135","2,200","1,850","2,240","2,100","2,100","2,400","2,500","2,300","2,270","2,390","2,698","2,660","2,680","2,820","2,996","2,517","2,650","3,087","2,949","2,877","2,754","2,761","1,590","3,010","3,125","2,940","3,196"
PI, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,000","1,000","1,000", -  , -  , -  ,"1,800","1,850","2,250","2,000","1,995","2,300","2,500","2,300","1,050","2,650","2,490","2,813","2,347","2,212","3,231","2,815","2,531","2,983","2,841","1,678","2,374","2,722","1,143","2,952","3,573","3,063","3,129"
CE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
RN, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
PB, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
PE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
AL, -  , -  , -  , -  , -  , -  , -  , -  , -  ,"1,400","1,429","1,522","1,500","1,500", -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  ,"2,500","2,792","2,792"
SE, -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , - , - , - , - , - , - , - , -  , -  , -  , -  , -  
BA, -  , -  , -  ,"1,158","1,583",333,900,"1,300","1,200","1,300",850,"1,500","1,550",700,"2,000","1,500","1,555","2,000","2,280","1,615","2,220","2,160","1,983","2,400","2,100","1,830","1,830","2,700","2,760","2,282","2,700","3,036","2,552","3,060","3,360","2,860","2,100","2,520","2,940","2,103","3,242","3,960","3,360","3,630"
